name,product_title,product_url,rating,review_long,review_short
sgk ,Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera,https//amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/dp/B07RGFF98S,1.0 out of 5 stars,"they’re lucky i love my kids more than my money or else i wouldn’t support price-gougers, everything works fine though, but i also didn’t get the extra 32gb sd card as they promised","Price-Gouging, Didn’t Come With Promised SD Card"
Aaron Quintana,Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera,https//amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/dp/B07RGFF98S,1.0 out of 5 stars,Waited for prices to come down a bit so I finally bought it. Finally arrived much later than advertised. And it did not come with a micro SD as advertised.,Micro SD was not included as advertised.
kraken89,Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera,https//amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/dp/B07RGFF98S,5.0 out of 5 stars,"For all the people upset about price, that is not a factor of the product. Reviews are about the product. This is the new Switch model with better battery life. Arrived as described new in box. Hated paying a premium but won't be thinking of that as I trade Pokemon with my kids and play Splatoon with them. Will update if anything changes.","New version, arrived quickly"
briona,Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera,https//amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/dp/B07RGFF98S,5.0 out of 5 stars,I hate the fact that the price was raised so much but 🤷🏻‍♀️. Product is great,Amazing
Chasiti,Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera,https//amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/dp/B07RGFF98S,1.0 out of 5 stars,"WARNING: This is not a new product (not what I received any way). The box is in sad condition. Upon opening the box, the product appears to be used. The product is not in its original packaging either. I have not powered on yet, as this is a Christmas gift. I’m worried though....",USED PRODUCTS
Brian Friday,Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera,https//amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/dp/B07RGFF98S,5.0 out of 5 stars,Because of the current demand had to pay over the original sticker price but still really happy with it. Came fast with a bonus memory card and adapter(?) best purchase I made in awhile. :>,Loving it!
Chloe,Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera,https//amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/dp/B07RGFF98S,5.0 out of 5 stars,Correct Description.,As Expected.
Vincent M,Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera,https//amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/dp/B07RGFF98S,3.0 out of 5 stars,"I wanted a New Switch but it was obvious after we opened the box that this device was either used or refurbished. I spent a lot of time looking between vendors and it was not clear that is unit wouldn't be new.  The Switch box was not sealed. The Switch itself had no screen plastic protective film. There was hand wrapped bubble wrap around different pieces...not a factory pack job. It seems to work but I won't know more until after Christmas. I told the wife I had snagged a new Switch but at a premium, but I just paid too much for a used one.","Not new unit, but thought I was buying a new unit."
enza,Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera,https//amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/dp/B07RGFF98S,5.0 out of 5 stars,We were so happy to find this console as NEW! They were sold out everywhere and my daughters bday couldn’t wait. It came before promised and we have had it for about6 weeks. No issues so far!,Bday surprise
K.L.,Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera,https//amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/dp/B07RGFF98S,5.0 out of 5 stars,"Overpriced, however it was a gift for my daughter's birthday so I paid the exorbitant amount. For this pricing it should come with a game.","Great system, but overpriced"
